Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Lyle Odelein,AUT,D,24,9,3,2,2,4,3,4,2,4,2,3,2,2,11
Mark Messier,BRT,F,11,9,5,6,5,3,4,4,5,10,6,6,3,5,6
Mats Sundin,BRT,F,13,7,5,5,5,4,4,1,4,13,5,5,5,5,1
Joe Mullen,BRT,F,11,6,3,3,4,3,3,2,8,7,4,6,3,3,1
Chris Gratton,BRT,F,77,9,2,3,3,3,4,4,1,7,2,3,2,3,5
Mike Peca,BRT,F,27,5,3,3,3,2,3,2,8,7,2,3,3,3,1
Ryan Smyth,BRT,F,94,7,3,3,2,2,2,4,5,4,2,3,2,3,2
Scott Stevens,BRT,D,4,11,3,4,3,5,4,5,3,7,3,5,4,4,6
Scott Niedermayer,BRT,D,27,9,5,5,4,3,3,2,5,10,2,5,5,4,2
Bryan Marchment,BRT,D,24,8,3,3,2,4,2,5,7,4,2,3,4,3,6
Jason Woolley,BRT,D,6,6,3,3,3,2,3,2,7,7,2,3,4,3,1
Brad May,CHA,F,10,9,3,3,3,3,4,5,5,4,2,6,2,2,6
Eric Daze,CHA,F,55,10,3,3,3,4,4,2,3,7,4,5,1,3,1
Claude Lemieux,CHA,F,22,11,3,5,4,4,4,4,4,7,4,6,3,3,6
Tom Fitzgerald,CHA,F,21,8,4,4,2,4,3,3,4,7,2,6,4,3,3
Rod Brind'Amour,CHA,F,17,9,4,5,4,4,4,3,3,7,4,8,5,4,2
Igor Korolev,CHA,F,23,7,4,4,4,3,3,1,3,10,3,5,5,4,1
Teppo Numminen,CHA,D,27,7,5,3,4,4,3,3,4,7,2,6,5,4,1
Mikael Andersson,CHA,D,34,6,4,5,2,3,2,2,5,7,2,6,2,3,1
Steve Chiasson,CHA,D,21,9,2,2,4,4,5,3,5,7,2,4,4,4,1
Chris Ferraro,CHA,D,14,6,3,4,3,2,3,2,4,7,2,3,4,4,2
Robert Kron,CHC,F,18,5,5,5,3,2,3,2,7,7,2,3,2,3,1
Pierre Turgeon,CHC,F,77,9,5,4,5,3,4,0,5,13,5,5,5,5,1
Jeremy Roenick,CHC,F,27,4,5,5,5,4,5,4,6,10,4,6,3,5,5
Kevin Miller,CHC,F,8,7,4,4,4,4,3,2,4,7,3,4,3,3,1
Niklas Sundstrom,CHC,F,24,5,3,3,3,4,2,2,1,7,3,3,5,4,1
Michal Pivonka,CHC,F,20,8,4,4,4,4,3,1,7,10,3,5,5,5,1
Gord Murphy,CHC,D,5,8,5,4,3,3,4,1,4,7,2,3,4,4,1
Adrian Aucoin,CHC,D,6,7,3,3,3,2,2,2,4,7,2,3,4,3,1
Marty McSorley,CHC,D,55,12,1,2,3,3,4,4,4,4,3,5,3,4,12
Bruce Driver,CHC,D,33,6,3,3,4,4,2,2,7,7,4,4,4,4,1
Brian Bradley,DIN,F,29,4,4,4,4,3,4,2,4,10,4,6,2,4,2
Patrick Poulin,DIN,F,28,10,5,5,2,2,4,3,7,7,2,3,2,3,1
Mikael Renberg,DIN,F,19,7,4,3,5,3,4,4,7,10,5,7,4,4,2
Jari Kurri,DIN,F,17,8,3,3,4,4,4,2,6,10,3,7,4,4,1
Jesse Belanger,DIN,F,14,5,3,4,4,3,3,2,6,10,4,5,2,4,1
Brian Noonan,DIN,F,16,7,3,3,4,4,4,3,4,7,4,9,4,3,3
Larry Murphy,DIN,D,55,10,4,3,5,4,4,2,2,10,3,7,5,5,1
Bob Beers,DIN,D,2,8,3,3,4,2,3,3,6,11,4,6,5,4,2
Bobby Dollas,DIN,D,5,10,3,2,3,5,3,3,3,8,2,5,4,3,1
Dmitri Mironov,DIN,D,15,7,4,4,4,3,4,1,4,7,2,4,6,4,1
Mark Recchi,GRH,F,8,6,3,3,5,3,4,2,3,10,4,5,4,5,2
Dallas Drake,GRH,F,11,4,5,5,4,3,3,2,5,7,3,4,4,3,2
Scott Mellanby,GRH,F,27,9,2,3,3,3,4,4,8,4,4,3,2,3,4
Radek Dvorak,GRH,F,9,6,5,4,3,3,3,2,2,7,3,3,4,4,1
Donald Audette,GRH,F,28,5,4,4,4,3,4,2,10,7,4,3,2,3,2
Denis Savard,GRH,F,18,5,5,3,4,3,3,1,4,10,3,4,6,4,1
James Patrick,GRH,D,3,9,4,3,3,3,3,2,6,7,2,3,5,4,1
Jiri Slegr,GRH,D,33,9,4,4,3,3,3,2,3,7,1,4,4,3,2
Adam Foote,GRH,D,52,8,4,3,4,4,2,3,8,7,1,3,4,3,6
Luke Richardson,GRH,D,22,11,3,3,1,3,2,4,7,4,1,3,3,2,6
Adam Oates,HFX,F,12,7,5,4,6,5,3,2,4,13,4,6,6,6,1
Cory Stillman,HFX,F,16,5,4,3,3,2,2,2,5,7,3,3,5,3,1
Sergei Fedorov,HFX,F,91,7,6,6,5,5,4,2,5,15,4,6,4,5,1
Andrei Kovalenko,HFX,F,51,3,3,4,4,3,4,3,7,10,4,5,3,3,2
Markus Naslund,HFX,F,22,6,4,3,3,3,2,2,5,7,3,3,4,3,1
Guy Carbonneau,HFX,F,21,6,3,2,2,4,2,3,6,7,2,4,3,3,1
Chris Pronger,HFX,D,44,7,3,3,3,3,4,4,3,7,2,3,4,3,5
Patrice Brisebois,HFX,D,43,5,4,4,4,2,5,2,8,7,3,3,1,3,3
Scott Walker,HFX,D,24,5,2,2,3,2,3,3,4,4,2,3,2,3,6
Chris Therien,HFX,D,6,11,3,3,3,3,2,2,5,7,2,3,4,3,1
Petr Klima,HIG,F,85,7,5,5,4,1,4,1,4,10,4,5,2,4,1
Cliff Ronning,HIG,F,7,5,5,5,4,3,3,2,5,7,3,4,5,4,2
Brett Hull,HIG,F,16,9,4,5,5,2,6,2,2,7,5,5,2,4,1
Zigmund Palffy,HIG,F,97,4,4,3,3,2,4,1,5,10,4,4,4,4,1
Kris Draper,HIG,F,33,7,3,4,2,3,2,2,3,7,2,3,4,3,1
Nikolai Borshevsky,HIG,F,15,5,3,3,3,2,3,2,6,7,2,2,2,3,2
Chris Chelios,HIG,D,7,7,4,4,5,6,5,4,6,10,3,7,4,4,6
Gary Suter,HIG,D,20,7,5,4,4,4,4,4,7,10,3,6,4,4,1
Marek Malik,HIG,D,23,7,2,2,2,3,3,3,7,4,1,3,3,2,2
Karl Dykhuis,HIG,D,24,9,3,2,2,2,2,2,5,7,2,2,4,3,4
Wayne Gretzky,ITA,F,99,4,6,4,6,4,4,1,5,15,4,6,5,6,1
Alexandr Selivanov,ITA,F,29,6,5,4,4,2,4,2,7,10,4,3,2,3,1
Alexei Kovalev,ITA,F,27,7,6,6,3,2,5,3,3,15,3,6,3,5,1
Paul Ysebaert,ITA,F,15,7,3,2,4,2,3,2,7,7,4,3,2,2,1
Bob Errey,ITA,F,21,6,5,4,2,4,2,4,7,7,2,4,4,3,2
Marty McInnis,ITA,F,18,4,4,5,3,4,2,2,4,7,3,3,3,3,1
Mathieu Schneider,ITA,D,72,7,4,4,4,4,4,3,5,7,3,4,3,4,4
Calle Johansson,ITA,D,6,9,5,4,4,4,3,2,5,7,3,5,4,4,1
Garry Galley,ITA,D,3,7,3,3,4,3,2,2,5,7,2,2,5,4,1
Grant Ledyard,ITA,D,12,9,3,3,3,2,2,2,7,7,2,2,4,3,1
Stephane Richer,MHT,F,44,9,4,5,4,3,6,2,6,10,3,5,2,4,1
Robert Reichel,MHT,F,26,6,4,5,4,3,5,2,13,9,4,5,3,4,2
Derek Plante,MHT,F,26,4,6,5,4,3,3,2,5,10,3,4,3,4,1
Alexei Zhamnov,MHT,F,10,7,6,5,5,3,4,2,5,13,3,5,5,5,1
Luc Robitaille,MHT,F,20,7,3,2,5,2,5,2,3,10,5,5,2,5,1
Todd Marchant,MHT,F,26,7,4,5,3,2,3,1,5,7,3,3,3,3,1
Paul Coffey,MHT,D,77,9,6,5,5,3,4,2,7,13,2,6,5,6,2
Bret Hedican,MHT,D,3,8,5,6,3,3,3,2,5,7,1,3,5,3,1
John Gruden,MHT,D,36,5,4,5,2,1,2,1,5,7,2,2,4,2,2
Ken Daneyko,MHT,D,9,10,3,2,1,5,2,5,5,4,1,4,1,2,6
Jamie Langenbrunner,MGG,F,90,5,4,3,3,2,2,1,4,7,2,2,3,3,1
Nelson Emerson,MGG,F,16,4,4,5,4,3,3,1,2,10,4,5,4,4,2
Corey Millen,MGG,F,34,4,3,5,3,2,2,1,8,7,3,3,4,3,1
Dave Andreychuk,MGG,F,23,11,3,2,5,3,4,2,6,7,3,4,2,3,1
Neal Broten,MGG,F,9,4,4,3,3,5,3,2,9,7,2,3,4,4,2
Tom Chorske,MGG,F,17,9,4,5,2,3,2,3,4,7,2,4,3,2,3
Ulf Samuelsson,MGG,D,5,8,4,4,2,5,2,4,5,7,1,5,4,3,2
Sergei Gonchar,MGG,D,55,9,5,4,4,4,5,3,3,7,3,3,3,3,2
Jamie Macoun,MGG,D,34,8,3,4,2,4,4,4,3,4,1,4,2,4,6
Roman Hamrlik,MGG,D,44,7,4,3,4,4,4,4,5,10,3,4,4,4,3
Doug Gilmour,NBK,F,93,4,5,5,5,5,4,3,7,10,3,6,5,4,2
Trevor Linden,NBK,F,16,9,4,5,4,4,4,4,0,10,4,6,3,4,5
Jaromir Jagr,NBK,F,68,10,5,6,6,4,5,4,3,15,6,7,4,6,2
Joe Nieuwendyk,NBK,F,25,8,4,3,5,4,4,2,7,13,3,5,2,4,1
Steve Rucchin,NBK,F,20,9,3,3,3,3,3,4,3,7,4,3,4,3,1
Jeff Friesen,NBK,F,39,6,3,4,4,2,3,2,3,10,3,4,4,4,1
Vladmir Malakhov,NBK,D,38,10,5,4,3,3,5,2,7,10,3,3,5,4,1
Richard Smehlik,NBK,D,42,10,3,2,3,4,4,4,7,7,2,3,3,3,6
Kenny Jonsson,NBK,D,3,7,4,4,3,3,4,3,5,7,2,4,4,3,2
Viachslv Fetisov,NBK,D,2,10,3,3,3,4,3,2,5,7,2,3,4,4,1
Dale Hawerchuk,ORL,F,18,6,4,4,5,4,3,2,7,10,3,6,5,5,1
Shane Doan,ORL,F,19,10,4,4,3,1,3,3,4,7,2,3,3,3,3
Teemu Selanne,ORL,F,8,6,5,6,5,2,4,2,4,13,5,5,2,5,1
Wendel Clark,ORL,F,17,8,3,3,4,3,6,4,11,7,4,6,2,4,6
Yuri Khmylev,ORL,F,13,7,4,3,4,4,4,3,6,9,4,3,3,3,2
Jason Arnott,ORL,F,7,8,4,4,4,3,4,3,4,7,5,4,3,4,3
Igor Kravchuk,ORL,D,21,9,5,3,3,3,4,3,7,7,2,7,3,3,1
Niklas Lidstrom,ORL,D,5,5,5,4,4,4,4,2,3,7,3,6,5,4,1
Derian Hatcher,ORL,D,2,9,3,2,2,3,4,4,7,7,2,6,3,2,6
Stephane Quintal,ORL,D,10,11,2,2,2,3,2,4,5,4,2,6,3,3,6
Peter Forsberg,PIT,F,21,6,4,4,6,4,4,2,3,13,4,4,5,6,1
Steve Yzerman,PIT,F,19,6,5,5,5,4,4,1,4,13,3,6,5,5,1
Kevin Stevens,PIT,F,25,11,2,3,4,2,5,3,9,7,3,3,2,4,6
Dean McAmmond,PIT,F,37,7,4,5,3,3,3,2,3,4,3,3,4,3,1
Sergei Nemchinov,PIT,F,13,6,4,4,3,4,3,3,5,10,3,7,4,3,1
Pavol Demitra,PIT,F,78,5,3,2,3,1,3,0,5,7,3,3,2,3,1
Curtis Leschyshyn,PIT,D,7,9,3,4,3,4,2,3,7,7,3,5,4,3,1
Philippe Boucher,PIT,D,26,7,4,3,3,1,4,2,6,10,2,4,4,4,1
Bob Rouse,PIT,D,3,10,3,2,1,4,2,4,10,4,1,4,2,2,4
Brendan Witt,PIT,D,47,8,3,3,2,3,3,5,7,7,2,3,4,3,5
Ted Donato,PRO,F,40,4,4,4,4,4,3,2,5,7,4,4,3,3,1
Bob Probert,PRO,F,24,11,2,3,3,3,3,4,7,4,3,2,2,3,11
Mike Modano,PRO,F,9,7,5,6,6,4,5,1,5,10,5,6,2,4,1
Andrew Cassels,PRO,F,21,7,4,4,4,4,2,2,5,10,3,5,6,5,1
Adam Graves,PRO,F,14,9,3,4,4,4,5,5,3,4,3,4,2,3,6
Bryan Smolinski,PRO,F,20,0,3,4,4,3,4,2,2,7,3,4,2,4,4
Uwe Krupp,PRO,D,4,12,3,2,3,3,4,3,8,7,2,4,2,3,2
Michel Petit,PRO,D,95,8,3,3,2,2,3,3,6,7,2,2,4,3,4
Frantsek Kucera,PRO,D,2,9,4,4,3,4,3,2,6,7,2,3,3,3,2
Robert Svehla,PRO,D,24,7,3,2,4,3,3,2,3,10,2,3,5,4,2
Sergei Makarov,REN,F,24,6,4,4,4,3,3,1,11,9,5,2,2,5,2
Shayne Corson,REN,F,9,9,3,3,4,4,4,4,7,7,3,4,3,3,6
Mike Gartner,REN,F,11,7,4,6,4,2,5,3,4,7,3,5,1,4,1
Martin Straka,REN,F,28,5,4,5,4,1,3,0,5,10,3,4,3,4,1
John LeClair,REN,F,10,11,3,4,5,3,5,4,5,7,5,3,2,3,3
Valeri Bure,REN,F,18,3,4,5,3,2,3,0,4,7,3,2,2,3,1
Eric Desjardins,REN,D,37,9,4,4,4,5,4,4,6,7,3,4,3,4,1
Zarley Zalapski,REN,D,33,10,5,4,4,3,4,3,5,10,3,6,4,3,1
Ken Klee,REN,D,2,8,3,3,2,3,2,4,4,4,2,3,4,3,4
Aki Berg,REN,D,5,8,3,3,2,3,2,4,5,7,2,2,4,3,3
Mario Lemieux,RIC,F,66,10,5,4,6,3,5,2,8,15,6,5,4,6,1
Vincent Damphousse,RIC,F,25,6,4,4,5,2,4,1,1,13,4,4,4,5,1
Alexei Yashin,RIC,F,19,9,5,5,5,2,4,2,2,13,4,4,3,5,1
Robert Lang,RIC,F,13,6,4,3,3,1,2,1,4,10,3,4,5,4,1
Bernie Nicholls,RIC,F,92,6,3,3,5,4,3,2,8,10,3,5,4,5,2
Brian Skrudland,RIC,F,20,8,2,2,2,6,2,4,7,7,2,4,4,3,6
Alexei Zhitnik,RIC,D,44,6,5,4,4,2,3,2,7,10,2,5,4,4,1
Alexei Gusarov,RIC,D,5,6,4,4,3,3,3,2,5,7,2,3,4,4,1
Bryan McCabe,RIC,D,4,8,3,3,3,2,3,3,3,7,2,2,4,3,3
Frank Musil,RIC,D,3,9,3,4,2,4,3,3,9,4,1,14,4,2,2
Ray Whitney,SAG,F,14,4,2,3,3,2,3,1,8,7,3,3,4,4,1
Joe Juneau,SAG,F,90,5,4,5,5,3,3,1,4,10,2,5,6,5,1
Brian Rolston,SAG,F,27,6,4,4,3,3,3,2,7,10,3,4,4,3,1
Keith Primeau,SAG,F,55,11,2,3,4,3,4,4,3,7,4,5,2,3,5
Ron Francis,SAG,F,10,9,3,3,6,6,3,3,3,10,4,6,5,5,1
Curtis Brown,SAG,F,37,6,3,4,3,3,2,3,5,4,2,2,4,3,4
Jeff Brown,SAG,D,32,9,4,4,4,4,5,2,6,7,2,3,3,4,1
Darius Kasparaits,SAG,D,11,7,4,3,2,3,3,5,7,7,2,2,3,3,6
Sylvain Cote,SAG,D,3,6,4,3,3,4,4,3,2,7,2,4,5,3,3
Steve Duchense,SAG,D,28,8,4,4,5,2,4,1,5,7,3,4,4,4,1
Michael Nylander,SUD,F,92,5,4,4,4,2,3,1,5,10,2,3,5,5,1
Tony Amonte,SUD,F,10,6,4,5,4,3,4,1,3,7,4,4,2,3,1
Ray Ferraro,SUD,F,20,6,3,4,4,2,4,2,7,7,4,4,2,3,3
Tony Granato,SUD,F,21,6,4,5,4,4,3,3,10,7,3,3,3,3,4
Steve Thomas,SUD,F,32,6,4,5,4,3,5,4,5,7,4,4,2,3,6
Saku Koivu,SUD,F,11,5,4,4,3,2,3,0,5,10,3,4,4,4,1
Vladimir Kostantinv,SUD,D,16,6,4,4,3,5,3,4,2,7,3,4,4,4,5
Jeff Norton,SUD,D,6,6,5,4,4,3,2,2,7,10,2,5,5,4,1
Glen Wesley,SUD,D,26,8,5,4,3,3,3,3,5,10,2,5,4,3,1
Gerald Diduck,SUD,D,4,9,4,3,1,3,2,4,4,4,1,3,4,3,3
Geoff Courtnall,SV,F,14,7,5,5,4,4,5,1,5,7,4,4,2,4,4
Craig Janney,SV,F,29,7,4,3,5,3,3,1,5,13,3,5,6,6,1
Alexander Mogilny,SV,F,89,7,6,6,6,3,5,1,5,13,5,5,2,5,1
Mike Keane,SV,F,25,5,3,4,3,4,2,4,4,7,2,4,2,3,5
Doug Weight,SV,F,39,6,3,4,4,3,3,2,3,10,3,4,5,5,1
Miroslav Satan,SV,F,32,6,4,5,4,3,3,1,5,7,3,2,3,3,1
Craig MacTavish,SV,D,23,8,3,2,3,5,2,3,5,7,2,3,3,3,3
Rob Blake,SV,D,4,10,4,4,4,4,4,4,8,7,2,4,3,4,3
Jyrki Lumme,SV,D,21,7,5,4,4,4,3,1,3,7,3,4,5,4,1
Todd Gill,SV,D,47,6,4,4,3,3,2,3,7,7,2,4,5,3,3
Keith Jones,SUM,F,9,7,4,3,4,4,3,5,5,7,3,4,1,3,5
Cam Neely,SUM,F,8,10,2,2,6,3,6,4,12,10,5,5,1,4,6
Eric Lindros,SUM,F,88,12,4,4,5,4,6,6,4,10,6,6,2,4,6
Donald Brashear,SUM,F,35,9,2,2,1,2,2,3,5,2,2,2,1,2,9
Tie Domi,SUM,F,28,9,2,3,3,2,3,4,2,7,2,3,2,2,11
Ian Laperriere,SUM,F,22,6,3,3,3,2,3,5,4,7,2,3,3,4,5
Don Sweeney,SUM,D,32,4,4,4,3,5,3,4,5,7,2,4,4,4,2
Jeff Beukeboom,SUM,D,23,11,3,3,2,4,3,6,2,4,1,4,2,3,6
Ed Jovanovski,SUM,D,55,9,4,4,3,3,3,4,5,4,3,3,3,3,5
Mark Tinordi,SUM,D,24,9,3,3,3,4,3,5,7,7,2,4,4,3,6
Russ Courtnall,SUN,F,9,6,5,6,4,3,4,2,4,7,3,6,3,4,1
Joe Sakic,SUN,F,19,6,4,4,6,4,4,2,5,13,5,7,4,6,1
German Titov,SUN,F,13,7,4,4,5,3,4,2,3,10,4,5,3,4,1
Pat Verbeek,SUN,F,16,7,3,4,4,3,4,4,2,7,5,6,2,4,4
Darren Turcotte,SUN,F,96,6,4,5,4,4,5,1,9,10,3,4,2,3,1
Petr Sykora,SUN,F,17,5,4,4,4,2,3,1,5,7,3,2,4,4,1
Ray Bourque,SUN,D,77,10,5,4,5,5,5,4,3,15,5,6,2,6,1
Dmitri Yushkevich,SUN,D,26,7,5,4,3,4,3,3,4,7,2,5,4,3,2
Deron Quint,SUN,D,5,6,4,5,3,1,2,1,5,10,2,2,5,4,1
Ricard Persson,SUN,D,3,9,4,4,3,2,4,2,5,7,2,3,3,4,2
Esa Tikkanen,SHC,F,10,9,3,4,4,5,5,3,5,7,2,3,3,4,5
Dino Ciccarelli,SHC,F,22,5,5,3,5,2,5,2,4,7,4,4,2,4,6
Mike Ricci,SHC,F,9,7,4,3,3,4,3,4,5,7,3,3,3,4,5
Jeff O'Neill,SHC,F,92,5,4,4,3,3,2,3,6,10,2,3,4,4,2
Ethan Moreau,SHC,F,40,8,3,2,2,3,3,4,3,4,2,3,4,3,4
Bobby Holik,SHC,F,16,10,2,3,3,3,5,4,4,4,2,3,2,3,3
Al Iafrate,SHC,D,43,11,3,3,3,3,6,4,13,7,2,3,2,4,3
Kevin Hatcher,SHC,D,4,11,3,3,4,4,4,5,4,7,3,4,2,4,6
Dave Ellett,SHC,D,45,9,4,4,4,3,4,3,7,7,2,4,4,4,2
Jaroslav Modry,SHC,D,5,8,3,3,1,3,2,2,9,6,1,2,2,2,1
Bill Guerin,TAI,F,24,9,4,5,4,3,5,4,2,7,4,3,2,3,6
Peter Bondra,TAI,F,12,6,4,6,5,3,4,1,5,13,5,5,2,4,1
Dimitri Khristich,TAI,F,8,7,3,3,4,4,4,2,4,7,4,3,3,4,2
Michal Grosek,TAI,F,18,5,3,3,3,2,3,2,6,7,2,2,3,3,4
Paul Kariya,TAI,F,9,4,4,5,5,2,4,2,3,13,5,5,3,4,2
Kirk Muller,TAI,F,21,9,3,3,3,4,3,3,5,7,3,4,5,4,3
Sergei Zubov,TAI,D,56,7,5,5,5,3,5,2,6,13,2,4,5,6,1
Al MacInnis,TAI,D,2,8,4,5,4,4,6,3,6,7,2,5,2,4,2
Marc Bergevin,TAI,D,27,6,4,3,1,3,2,4,5,4,2,3,3,2,3
Alexandr Karpotsev,TAI,D,25,6,3,3,3,3,5,3,6,7,1,2,3,3,1
Pavel Bure,TB,F,96,5,6,6,5,3,5,1,5,13,5,5,2,5,1
Pat LaFontaine,TB,F,16,5,5,4,6,4,4,2,6,13,4,5,4,5,2
Petr Nedved,TB,F,93,5,5,5,5,3,4,1,5,10,4,5,3,5,1
Shawn McEachern,TB,F,14,7,4,5,4,2,4,1,3,7,4,4,2,4,1
Daniel Alfredsson,TB,F,11,6,3,4,4,1,4,1,0,10,4,4,2,3,1
Chad Kilger,TB,F,18,10,4,4,3,2,3,2,5,7,2,3,4,3,3
Sandis Ozolinsh,TB,D,8,7,5,5,4,3,4,2,3,10,3,5,4,4,2
Yves Racine,TB,D,34,6,4,4,2,3,4,3,7,7,1,4,4,3,2
Jason York,TB,D,3,7,3,3,3,2,4,1,2,7,2,3,2,3,1
Eric Weinrich,TB,D,2,10,3,4,3,3,3,3,7,7,2,4,3,3,1
Ulf Dahlen,TKO,F,22,8,4,3,4,3,4,3,7,7,4,5,4,4,2
James Black,TKO,F,38,6,3,3,3,3,1,2,3,15,3,2,2,5,9
Martin Gelinas,TKO,F,23,8,3,3,3,3,4,3,7,7,4,3,2,3,5
Brian Savage,TKO,F,49,6,3,4,3,2,3,2,5,7,4,3,1,2,1
Valeri Zelepukin,TKO,F,25,6,5,3,4,2,3,1,7,10,3,3,4,3,1
Jozef Stumpel,TKO,F,16,5,3,3,4,2,3,1,4,7,3,3,5,4,1
Jassen Cullimore,TKO,D,34,11,3,2,2,3,2,3,5,4,2,3,2,2,2
Norm Maciver,TKO,D,44,5,3,3,4,2,3,2,7,10,2,3,5,4,1
Anders Eriksson,TKO,D,34,10,3,3,2,3,2,3,5,7,2,4,4,3,1
Igor Ulanov,TKO,D,5,9,2,2,1,3,2,4,4,4,1,4,5,2,4
Scott Young,THT,F,48,7,3,5,4,3,5,1,4,7,3,3,3,4,2
Keith Tkachuk,THT,F,7,9,4,4,5,4,5,6,3,7,4,4,2,4,6
Gary Roberts,THT,F,10,7,3,4,5,4,4,4,11,7,5,5,2,4,6
Steve Sullivan,THT,F,24,3,4,4,3,2,2,2,6,7,3,3,4,3,2
Adam Deadmarsh,THT,F,18,7,3,3,4,3,3,4,2,10,4,4,4,4,5
Stu Barnes,THT,F,14,5,3,3,4,2,4,1,4,7,4,3,4,3,1
Steve Smith,THT,D,5,11,4,4,3,5,3,5,7,4,2,7,2,4,6
Petr Svoboda,THT,D,23,5,5,3,2,4,3,3,9,4,1,6,5,3,4
Adam Burt,THT,D,6,7,2,3,2,3,4,4,7,4,2,6,3,3,5
Janne Laukkanen,THT,D,27,5,4,4,3,1,2,0,7,10,2,4,4,3,1
Owen Nolan,UGA,F,11,8,3,4,4,2,5,4,6,7,4,4,2,3,6
Joe Murphy,UGA,F,17,7,4,6,4,3,4,3,3,7,4,4,2,4,2
Vyacheslav Kozlov,UGA,F,13,5,5,4,4,3,4,1,3,10,4,4,2,4,1
Igor Larionov,UGA,F,8,4,4,3,5,3,3,1,7,10,3,4,5,4,1
Jere Lehtinen,UGA,F,26,6,4,3,4,3,2,2,4,10,2,4,4,4,1
Viktor Kozlov,UGA,F,25,11,2,3,3,2,3,2,6,10,2,4,3,4,1
Darryl Sydor,UGA,D,6,9,4,3,3,2,3,1,5,7,2,5,4,4,1
Oleg Tverdovsky,UGA,D,20,5,5,5,4,2,3,2,7,10,2,5,5,5,1
Doug Bodger,UGA,D,3,10,4,3,3,3,2,2,7,7,2,4,5,3,1
Scott Lachance,UGA,D,7,8,3,3,3,3,3,3,7,7,2,5,5,3,1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
