,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Kyle McLaren,HIG,D,18,9,3,3,2,4,4,3,1,7,2,3,2,3,2
Calle Johansson,HIG,D,6,9,5,4,4,4,3,2,1,7,3,5,4,4,1
Yannick Tremblay,HIG,D,38,6,2,3,2,3,3,4,0,7,3,3,3,3,2
Martin Rucinsky,KVK,F,26,5,4,4,3,2,3,1,1,10,3,4,5,4,1
Saku Koivu,KVK,F,11,5,4,4,5,2,3,2,1,10,4,4,5,5,1
Gary Roberts,KVK,F,10,7,3,4,5,4,4,4,1,7,5,5,2,4,6
Radek Bonk,KVK,F,76,9,2,2,3,2,4,2,1,10,3,4,2,3,2
Martin Gelinas,KVK,F,23,8,3,3,4,3,4,3,1,7,4,3,4,4,5
Jason Allison,KVK,F,41,3,3,2,2,3,3,3,0,7,3,4,4,4,4
Petr Svoboda,KVK,D,23,5,5,3,2,4,3,3,1,7,3,4,5,3,4
Mathieu Schneider,KVK,D,72,7,4,4,4,4,4,3,1,7,3,4,4,4,4
Bob Beers,KVK,D,34,8,2,2,3,3,3,3,0,5,2,4,4,2,2
Bryan Marchment,KVK,D,24,8,3,3,2,4,2,5,1,5,2,3,4,3,6
Ed Olczyk,MIA,F,27,9,4,4,4,2,4,2,1,7,4,4,4,4,2
Darren McCarty,MIA,F,25,10,4,3,3,3,3,5,1,7,3,4,3,4,5
Pat LaFontaine,MIA,F,16,5,5,4,5,4,4,2,0,12,4,4,4,5,2
Scott Young,MIA,F,48,7,3,5,4,3,5,1,0,7,3,3,3,4,2
Sergei Berezin,MIA,F,94,6,5,5,4,3,4,3,0,10,5,5,5,4,0
Kevin Stevens,MIA,F,10,11,4,4,4,2,5,3,1,7,3,3,4,4,6
Igor Kravchuk,MIA,D,5,9,5,4,3,3,4,3,1,7,2,4,3,3,1
J.J. Daigneault,MIA,D,36,6,4,3,4,4,3,3,1,7,2,3,4,4,4
Ken Daneyko,MIA,D,3,10,3,2,1,5,2,5,1,5,1,4,1,2,6
Yves Racine,MIA,D,34,6,4,4,2,3,4,3,1,7,1,4,4,3,2
Brian Bradley,MIL,F,19,4,4,4,4,3,4,2,0,10,4,5,2,4,2
Greg Adams,MIL,F,23,7,4,4,4,2,3,2,1,10,4,5,4,4,1
Jesse Belanger,MIL,F,14,5,3,4,4,3,3,2,0,10,4,4,2,4,1
Ulf Dahlen,MIL,F,21,8,4,3,4,3,4,3,1,7,4,5,4,4,2
John MacLean,MIL,F,15,9,3,3,5,4,5,3,0,7,3,4,2,3,3
Jari Kurri,MIL,F,17,8,3,3,4,4,4,2,0,10,3,6,4,4,1
Alexander Godynyuk,MIL,D,5,4,4,4,3,3,3,4,1,7,3,3,3,3,3
Norm MacIver,MIL,D,44,5,3,3,4,2,3,2,1,10,2,4,5,4,1
Dan Keczmer,MIL,D,22,4,3,3,3,4,3,3,0,7,3,3,3,2,4
Aaron Gavey,MIL,D,27,5,4,4,2,4,3,3,1,5,3,3,4,3,3
Stephane Richer,MHT,F,44,9,4,5,4,4,6,2,0,10,3,5,4,5,1
Robert Reichel,MHT,F,21,4,4,4,4,3,4,2,1,10,4,4,3,4,4
Derek Plante,MHT,F,26,4,5,5,4,3,3,2,1,10,3,5,4,4,1
Alexei Zhamnov,MHT,F,10,7,5,5,5,3,4,2,1,13,4,5,5,5,1
Luc Robitaille,MHT,F,20,7,3,2,4,2,5,2,1,10,5,4,2,5,1
Craig Janney,MHT,F,15,7,4,3,5,3,3,1,1,12,3,4,6,6,1
Paul Coffey,MHT,D,77,9,6,5,4,6,4,2,1,12,4,5,5,6,2
Bret Hedican,MHT,D,3,8,5,6,3,4,3,2,1,7,1,3,4,4,1
John Gruden,MHT,D,36,5,4,5,2,1,2,1,1,7,2,2,4,2,2
Ricard Persson,MHT,D,28,9,4,4,3,2,4,2,1,7,2,3,3,4,2
Jamie Langenbrunner,MGG,F,15,5,4,4,4,3,4,2,0,10,4,6,4,4,1
Nelson Emerson,MGG,F,16,4,4,5,4,3,3,1,0,10,4,5,4,4,2
Corey Millen,MGG,F,34,4,3,5,3,2,2,1,0,9,3,2,4,3,1
Dave Andreychuk,MGG,F,23,11,3,2,4,3,4,2,0,7,3,4,4,4,1
Glen Murray,MGG,F,27,10,3,4,4,3,3,2,0,7,4,4,4,4,4
Mikael Renberg,MGG,F,19,7,4,3,5,3,4,4,1,10,5,6,4,4,2
Jamie Allison,MGG,D,2,7,3,3,3,3,3,2,1,7,3,2,2,2,2
Sergei Gonchar,MGG,D,55,9,5,4,4,4,5,3,1,7,3,3,3,3,2
Jamie Macoun,MGG,D,34,8,3,4,4,3,4,4,1,5,1,4,2,4,6
Roman Hamrlik,MGG,D,44,7,4,3,4,4,4,4,1,10,3,4,4,4,3
Doug Gilmour,NBK,F,93,4,5,4,5,5,4,3,1,10,4,6,5,6,6
Trevor Linden,NBK,F,16,9,4,4,5,4,4,2,0,10,5,5,4,4,5
Jaromir Jagr,NBK,F,68,10,5,5,6,4,5,1,1,15,6,6,6,6,1
Marty McInnis,NBK,F,18,4,4,5,3,4,2,2,0,7,3,3,3,3,1
Jonas Hoglund,NBK,F,44,6,3,4,4,3,4,4,0,10,4,5,4,4,3
Jeff Friesen,NBK,F,39,6,3,4,4,3,3,2,1,10,3,4,4,4,1
Vladimir Malakhov,NBK,D,38,10,5,4,3,3,5,2,1,10,3,3,5,4,1
Richard Smehlik,NBK,D,42,10,3,2,3,4,4,4,1,7,2,3,3,3,6
Kenny Jonsson,NBK,D,3,7,4,4,3,3,4,3,1,7,2,4,4,3,2
Jamie Pushor,NBK,D,4,5,4,4,3,3,3,3,0,7,3,3,3,3,6
Peter Forsberg,PIT,F,21,6,4,4,6,4,4,4,1,12,4,3,5,6,5
Steve Yzerman,PIT,F,19,6,5,5,6,4,4,1,0,12,5,6,5,6,1
Wendel Clark,PIT,F,17,8,3,3,4,3,6,4,0,7,4,4,2,4,4
Dean McAmmond,PIT,F,37,7,4,5,3,3,3,2,1,5,3,3,4,3,1
German Titov,PIT,F,13,7,4,4,5,3,4,2,1,10,4,4,3,4,1
Pavol Demitra,PIT,F,38,5,3,2,3,1,3,0,1,7,3,2,2,3,1
Darius Kasparaitis,PIT,D,7,7,4,3,2,4,3,6,1,7,2,2,3,3,6
Philippe Boucher,PIT,D,28,7,4,3,3,1,4,2,0,7,2,3,3,3,1
Jaroslav Svejkovsky,PIT,D,34,6,2,2,3,2,2,2,0,5,2,3,2,2,2
Brendan Witt,PIT,D,20,8,3,3,2,3,3,5,1,7,2,3,4,3,5
Ted Donato,PRO,F,21,4,4,4,4,4,3,2,1,7,4,4,3,3,1
Vaclav Prospal,PRO,F,45,6,3,4,3,3,3,2,1,7,3,3,3,3,4
Mike Modano,PRO,F,9,7,6,6,6,4,5,1,1,12,5,5,5,6,1
Andrew Cassels,PRO,F,21,7,4,4,5,3,3,2,1,10,3,5,6,5,3
Adam Graves,PRO,F,10,9,3,4,4,3,5,5,1,7,3,4,4,4,6
Bryan Smolinski,PRO,F,15,8,3,4,4,3,4,2,0,7,3,4,4,4,4
Uwe Krupp,PRO,D,4,12,3,3,3,3,4,3,0,7,2,4,2,3,2
Michel Petit,PRO,D,8,8,3,3,2,2,3,3,0,7,2,2,4,3,4
Frantsek Kucera,PRO,D,2,9,4,4,3,4,3,2,0,7,2,3,3,3,2
Robert Svehla,PRO,D,24,7,3,2,4,4,3,2,0,10,3,4,5,4,2
Craig Conroy,REN,F,22,5,4,4,3,3,3,3,0,7,3,3,3,3,2
Shayne Corson,REN,F,27,9,3,3,4,4,4,4,1,7,3,4,4,4,6
Mike Gartner,REN,F,22,7,6,6,4,2,5,2,0,7,4,5,2,4,1
Martin Straka,REN,F,28,5,4,5,4,1,3,0,1,10,3,4,3,4,1
John LeClair,REN,F,10,11,4,4,6,4,5,4,1,10,5,7,6,5,3
Valeri Bure,REN,F,18,3,4,5,3,2,3,0,0,7,3,2,2,3,1
Eric Desjardins,REN,D,37,9,4,4,4,5,4,4,0,7,3,4,3,4,1
Zarley Zalapski,REN,D,33,10,5,4,4,3,4,3,1,10,3,6,4,3,1
Igor Ulanov,REN,D,5,9,2,2,1,3,2,4,0,5,1,5,5,2,4
Ken Klee,REN,D,2,8,3,3,2,3,2,4,1,5,2,3,4,3,4
Mario Lemieux,RIC,F,66,10,5,4,6,4,4,1,0,15,6,6,6,6,1
Vincent Damphousse,RIC,F,25,6,4,4,5,2,4,1,1,12,4,4,5,5,1
Alexei Yashin,RIC,F,19,9,5,5,5,2,4,2,0,15,4,3,4,5,1
Robert Lang,RIC,F,13,6,4,3,3,1,3,1,0,10,3,4,5,4,1
Jarome Iginla,RIC,F,12,6,4,4,4,4,5,5,0,7,4,4,4,4,2
Alexander Selivanov,RIC,F,29,6,5,4,4,2,4,2,1,10,4,4,3,4,1
Alexei Zhitnik,RIC,D,44,6,5,4,4,2,3,3,1,10,2,5,5,4,3
Alexei Gusarov,RIC,D,5,6,4,4,3,3,3,2,1,7,2,3,4,4,1
Bryan McCabe,RIC,D,4,8,3,3,3,2,3,3,1,7,2,2,4,3,3
Todd Simpson,RIC,D,27,4,3,3,4,3,3,3,1,7,3,3,3,3,3
Ray Whitney,SAG,F,14,4,2,3,3,2,3,1,0,7,3,3,4,4,1
Joe Juneau,SAG,F,90,5,4,5,5,3,3,1,0,10,2,5,6,5,1
Brian Rolston,SAG,F,12,6,4,5,3,3,4,2,1,10,4,4,4,3,1
Sergei Nemchinov,SAG,F,13,6,5,5,3,4,4,2,1,10,4,6,4,3,1
Ron Francis,SAG,F,10,9,3,3,5,5,3,3,1,10,3,4,5,5,1
Curtis Brown,SAG,F,37,6,3,4,3,3,2,3,1,5,2,2,4,3,4
Dmitry Yushkevich,SAG,D,36,7,5,4,3,4,3,3,0,7,2,3,4,3,2
Phil Housley,SAG,D,96,6,5,4,5,2,3,1,1,10,3,5,5,5,5
Mathieu Dandenault,SAG,D,11,5,4,4,3,3,3,4,0,7,3,3,3,3,4
Anders Eriksson,SAG,D,34,10,3,3,2,3,2,3,1,7,2,4,4,3,1
Adam Oates,SAS,F,12,7,5,4,6,4,3,2,0,13,4,5,6,6,1
Cory Stillman,SAS,F,16,5,4,3,3,2,2,2,1,7,3,3,5,3,1
Sergei Fedorov,SAS,F,91,7,6,6,6,5,4,2,1,15,5,5,4,6,1
Andrei Kovalenko,SAS,F,51,3,4,4,4,3,4,3,1,10,4,5,4,4,2
Markus Naslund,SAS,F,19,6,4,3,3,3,2,2,1,7,3,3,4,3,1
Guy Carbonneau,SAS,F,21,6,4,3,2,5,2,3,0,7,4,4,3,3,1
Chris Pronger,SAS,D,44,7,3,3,3,3,4,4,1,7,2,3,4,3,6
Patrice Brisebois,SAS,D,43,5,4,4,4,2,5,2,0,7,3,3,1,3,3
Scott Walker,SAS,D,24,5,4,4,4,4,3,4,0,7,4,4,5,3,5
Dan McGillis,SAS,D,23,6,3,3,4,3,3,4,1,7,3,3,3,3,3
Scott Mellanby,SOV,F,14,9,2,3,4,3,4,4,0,7,4,4,4,4,4
Eric Daze,SOV,F,55,10,3,4,4,4,4,2,1,10,4,5,4,4,1
Owen Nolan,SOV,F,11,8,3,4,4,3,5,4,0,7,5,4,4,4,6
Kirk Maltby,SOV,F,18,7,3,3,2,3,2,3,1,5,2,4,3,2,6
Dimitri Khristich,SOV,F,8,7,3,4,4,3,4,2,0,7,4,4,4,5,2
Keith Primeau,SOV,F,63,11,2,3,4,3,4,4,1,7,4,3,3,4,4
Fredrik Olausson,SOV,D,23,9,5,4,4,2,4,1,0,10,2,4,5,4,1
Cory Cross,SOV,D,4,9,3,2,1,2,4,3,1,10,1,4,3,3,2
Jay McKee,SOV,D,74,7,3,3,3,3,3,3,1,7,3,3,2,3,4
Alexander Karpovtsev,SOV,D,25,6,4,5,3,3,5,3,0,7,3,4,3,3,1
Geoff Courtnall,SV,F,14,7,5,5,4,3,4,1,1,7,4,3,2,4,3
Todd Marchant,SV,F,26,7,4,5,3,2,3,1,1,7,3,3,3,3,1
Alexander Mogilny,SV,F,89,7,6,6,6,4,5,1,1,15,6,5,6,6,1
Tomas Holmstrom,SV,F,15,6,4,4,3,3,3,3,1,10,3,4,3,3,3
Doug Weight,SV,F,39,6,4,4,5,4,4,2,1,10,4,4,5,5,1
Miroslav Satan,SV,F,81,6,4,5,4,3,3,2,1,9,4,3,3,4,1
Mattias Norstrom,SV,D,13,8,3,3,2,3,3,4,0,7,2,4,3,3,4
Rob Blake,SV,D,4,10,4,4,4,4,4,3,0,7,2,4,4,4,3
Jyrki Lumme,SV,D,21,7,5,4,3,4,3,1,1,7,3,4,4,4,1
Todd Gill,SV,D,23,6,4,4,3,3,2,3,1,7,2,4,2,3,3
Wayne Primeau,SUM,F,76,7,3,3,3,3,3,3,1,7,3,3,2,2,3
Mike Grier,SUM,F,25,6,4,4,4,3,4,3,0,7,4,3,3,4,4
Eric Lindros,SUM,F,88,12,4,4,6,5,6,6,0,10,6,6,4,4,6
Donald Brashear,SUM,F,8,9,2,2,1,2,2,3,1,3,2,0,1,2,5
Cliff Ronning,SUM,F,77,5,5,5,4,3,4,2,1,12,4,4,5,4,2
Ian Laperriere,SUM,F,22,6,3,3,3,2,3,4,0,7,2,3,3,4,4
Gary Suter,SUM,D,20,7,5,4,4,4,4,4,1,10,3,6,4,4,1
Jeff Beukeboom,SUM,D,23,11,2,3,2,4,3,6,0,5,1,4,2,3,6
Ed Jovanovski,SUM,D,55,9,4,4,4,5,3,6,1,5,3,3,3,3,5
Mark Tinordi,SUM,D,24,9,3,3,3,4,3,5,1,7,2,4,4,3,5
Russ Courtnall,SUN,F,21,6,5,6,4,3,4,2,0,7,3,5,4,4,1
Joe Sakic,SUN,F,19,6,4,4,6,4,4,2,1,13,5,5,5,6,1
Andrei Nikolishin,SUN,F,13,5,3,3,3,4,2,2,1,7,5,5,3,4,2
Esa Tikkanen,SUN,F,10,9,3,4,4,3,5,3,1,7,2,3,4,5,5
Sergei Zholtok,SUN,F,16,4,4,5,4,3,3,1,0,10,4,4,3,3,2
Petr Sykora,SUN,F,17,5,4,4,4,2,3,1,1,7,3,2,4,4,1
Ray Bourque,SUN,D,77,6,4,4,4,6,4,2,1,15,6,5,5,6,2
Jeff Brown,SUN,D,25,9,4,4,4,4,5,2,0,7,2,3,3,4,1
Deron Quint,SUN,D,5,6,4,5,3,1,2,1,1,10,2,3,5,4,1
Al Iafrate,SUN,D,43,10,3,3,2,3,6,4,1,9,4,1,2,4,4
Andreas Dackell,SHC,F,10,8,4,4,3,3,3,3,0,7,3,3,3,4,4
Dino Ciccarelli,SHC,F,22,4,5,4,5,3,5,2,0,7,4,4,4,4,6
Mike Ricci,SHC,F,9,7,4,4,3,4,3,4,1,10,4,5,4,4,5
Jeff O'Neill,SHC,F,92,5,4,4,3,3,2,3,0,10,2,3,4,4,2
Ethan Moreau,SHC,F,19,8,3,2,4,3,3,4,1,7,3,3,4,3,4
Bobby Holik,SHC,F,16,10,2,3,3,3,5,4,0,7,3,3,3,3,3
Steve Staios,SHC,D,25,8,3,3,3,3,3,3,0,8,3,4,3,3,2
Kevin Hatcher,SHC,D,4,11,3,3,4,4,5,5,0,7,3,4,2,4,6
Dave Ellett,SHC,D,2,9,4,4,4,5,4,3,1,7,2,4,4,4,2
Jaroslav Modry,SHC,D,5,8,3,4,3,2,3,3,0,9,4,3,3,2,4
Dale Hawerchuk,SYD,F,18,6,4,4,5,4,3,2,1,10,3,5,5,5,1
Shane Doan,SYD,F,19,10,4,4,4,2,3,3,0,7,3,4,3,3,3
Teemu Selanne,SYD,F,8,6,6,6,6,4,4,2,0,15,6,5,5,6,1
Bernie Nicholls,SYD,F,9,6,3,3,5,4,3,2,1,10,3,5,5,5,2
Todd Bertuzzi,SYD,F,44,6,4,4,4,3,4,4,1,10,4,5,3,4,2
James Black,SYD,F,38,6,3,3,3,3,1,2,1,15,3,2,2,5,4
Curtis Leschyshyn,SYD,D,7,9,3,4,3,4,2,3,1,7,3,5,4,3,1
Aaron Miller,SYD,D,3,5,4,4,3,3,3,4,0,10,4,4,4,3,4
Derian Hatcher,SYD,D,2,9,3,2,2,3,4,4,1,7,2,4,3,2,6
Craig Rivet,SYD,D,52,5,3,3,3,3,3,3,0,7,3,3,3,3,4
Bill Guerin,TAI,F,13,9,4,5,4,3,5,4,0,7,4,3,2,3,6
Peter Bondra,TAI,F,12,6,5,6,5,3,4,1,1,12,5,5,4,5,1
Daymond Langkow,TAI,F,18,4,4,4,4,2,3,4,1,9,3,1,3,3,2
Stu Barnes,TAI,F,14,5,3,4,4,2,4,1,0,7,4,4,4,3,1
Paul Kariya,TAI,F,9,4,6,6,6,4,5,2,1,15,6,5,5,6,2
Kirk Muller,TAI,F,10,9,3,3,3,4,4,3,1,7,3,4,5,4,3
Sergei Zubov,TAI,D,56,7,5,5,5,4,5,2,0,12,4,4,5,6,1
Al MacInnis,TAI,D,2,8,4,4,4,4,6,3,0,7,2,5,2,4,3
Marc Bergevin,TAI,D,4,6,4,3,1,3,2,4,1,5,2,3,3,2,3
Steve Chiasson,TAI,D,3,9,2,2,4,4,5,3,1,7,2,4,4,4,1
Pavel Bure,TB,F,96,5,6,6,6,4,5,1,1,15,5,6,5,6,1
Tom Chorske,TB,F,17,9,4,5,2,3,2,3,0,7,2,4,3,2,3
Petr Nedved,TB,F,93,5,5,5,5,3,4,1,1,10,4,5,4,5,1
Steve Sullivan,TB,F,10,6,6,5,4,3,4,2,0,5,3,1,2,3,4
Daniel Alfredsson,TB,F,11,6,3,4,5,2,4,1,0,10,4,4,3,5,1
Chad Kilger,TB,F,18,10,4,4,3,2,3,2,1,7,2,3,4,3,3
Sandis Ozolinsh,TB,D,8,7,5,5,4,4,4,2,1,10,4,5,3,4,2
Jassen Cullimore,TB,D,35,11,4,3,3,3,3,4,1,7,3,3,3,3,3
Jason York,TB,D,33,7,3,3,3,2,4,1,0,7,2,3,2,3,1
Vladimir Konstantinov,TB,D,16,6,4,4,3,5,3,4,0,7,3,5,4,5,4
Shean Donovan,THT,F,42,6,4,4,3,2,3,3,0,5,3,3,3,3,1
Keith Tkachuk,THT,F,7,9,4,4,5,4,5,6,1,10,4,5,5,4,6
Joe Nieuwendyk,THT,F,25,8,4,3,5,4,4,2,1,12,3,4,2,4,1
Alexandre Daigle,THT,F,91,5,4,4,4,3,4,2,1,10,4,5,4,4,1
Adam Deadmarsh,THT,F,18,7,3,3,4,3,3,4,0,10,4,4,4,4,5
Joel Bouchard,THT,F,6,4,3,3,3,3,3,3,1,7,3,3,3,3,3
Steve Smith,THT,D,5,11,4,4,3,5,3,5,1,10,2,6,2,4,6
Per Gustafsson,THT,D,4,5,4,4,3,4,4,2,1,7,3,3,3,3,6
Adam Burt,THT,D,6,7,2,3,2,3,4,4,1,5,2,4,3,3,5
Oleg Tverdovsky,THT,D,20,5,5,5,4,3,3,2,1,10,2,4,5,5,1
Steve Thomas,TKO,F,32,6,4,4,4,3,5,4,1,7,4,4,2,3,6
Jozef Stumpel,TKO,F,16,5,3,4,4,2,3,1,0,9,3,2,5,4,1
Steve Rucchin,TKO,F,20,9,4,4,5,5,3,2,1,8,4,6,4,4,2
Viktor Kozlov,TKO,F,25,12,3,4,3,2,3,4,0,11,2,3,4,3,4
Valeri Zelepukin,TKO,F,26,6,5,3,4,2,3,1,1,10,3,4,4,4,3
Shawn McEachern,TKO,F,15,7,4,5,4,2,4,1,1,7,4,4,2,4,1
Larry Murphy,TKO,D,55,10,4,4,5,5,4,2,0,10,3,6,5,6,1
Scott Lachance,TKO,D,7,8,3,4,3,4,3,3,1,7,3,3,5,3,1
Greg DeVries,TKO,D,5,10,3,3,2,3,2,3,1,7,3,3,3,2,2
Boris Mironov,TKO,D,2,7,5,4,3,3,2,1,0,7,2,3,5,3,3
