Name,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Brendan Shanahan,HAM,F,14,10,5,4,5,4,4,4,0,11,5,5,5,4,5
Rick Tocchet,HAM,F,22,8,4,4,5,4,4,4,0,7,5,3,5,3,5
Vaclav Varada,HAM,F,25,7,4,5,4,4,3,3,1,7,4,3,3,3,4
Alexei Kovalev,HAM,F,27,8,5,5,5,4,4,3,1,12,5,4,3,4,4
Glen Murray,HAM,F,36,10,4,4,4,3,4,3,0,7,4,4,4,3,4
Brian Leetch,HAM,D,2,6,5,5,4,4,4,3,1,12,5,5,3,4,3
Sylvain Cote,HAM,D,3,6,4,4,4,4,4,3,0,7,4,4,4,4,3
Andy Sutton,HAM,D,42,13,4,3,2,4,4,5,1,5,2,3,5,1,5
Jason Smith,HAM,D,21,8,4,4,4,3,3,4,0,7,4,4,4,3,4
Patrik Elias,HFD,F,26,6,5,5,5,3,4,3,1,7,4,4,3,3,3
Cory Stillman,HFD,F,16,5,5,5,5,3,3,3,1,7,5,4,3,3,3
Valeri Kamensky,HFD,F,13,7,5,5,5,4,4,3,0,9,5,3,3,4,3
Dallas Drake,HFD,F,11,5,5,5,5,4,3,3,1,7,4,4,4,3,4
Andrei Kovalenko,HFD,F,51,9,4,4,4,2,3,3,1,9,4,4,3,3,3
PJ Axelsson,HFD,F,9,4,5,5,4,3,3,3,1,7,4,3,3,3,3
Ray Bourque,HFD,D,77,9,5,5,5,5,4,4,1,11,6,4,4,4,4
Aaron Miller,HFD,D,41,7,4,4,4,3,3,3,0,9,4,3,4,3,4
James Patrick,HFD,D,3,7,4,4,4,3,3,3,0,7,4,3,3,3,3
J.J. Daigneault,HFD,D,33,5,4,5,4,3,3,3,1,7,3,3,3,3,4
Eric Lindros,HIG,F,88,12,4,4,5,4,5,5,0,10,5,4,5,4,5
Andrew Brunette,HIG,F,19,9,4,4,4,3,3,3,1,7,4,3,3,3,3
Claude Lemieux,HIG,F,22,10,4,4,3,3,4,4,0,7,5,5,4,3,5
Slava Butsayev,HIG,F,7,7,4,4,4,3,4,4,0,5,4,4,3,4,3
Bates Battaglia,HIG,F,13,5,4,4,4,3,3,3,1,7,4,3,4,3,3
Theoren Fleury,HIG,F,14,3,5,5,4,3,4,4,0,11,5,4,3,4,5
Ed Jovanovski,HIG,D,55,8,4,4,5,4,3,4,1,7,4,4,5,3,5
Kyle McLaren,HIG,D,18,9,3,3,4,4,3,4,1,7,4,4,4,3,4
Eric Desjardins,HIG,D,37,8,5,5,5,4,4,4,0,7,4,4,3,4,4
Yannick Tremblay,HIG,D,38,5,4,4,4,3,3,3,0,8,4,3,3,3,3
Jarome Iginla,HOT,F,12,7,4,5,5,3,3,3,0,7,4,4,4,3,4
Daniel Briere,HOT,F,8,2,5,5,4,3,3,2,0,10,4,3,3,3,3
Richard Zednik,HOT,F,44,6,5,5,4,3,4,3,1,7,4,3,3,3,4
Chris Gratton,HOT,F,77,9,4,4,4,3,4,4,1,7,4,4,5,3,5
Alexandre Daigle,HOT,F,21,7,5,5,4,2,3,2,1,10,4,3,3,3,3
Martin Gelinas,HOT,F,23,6,5,5,4,3,3,4,1,7,4,4,4,3,4
Sheldon Souray,HOT,D,2,11,4,4,3,3,5,3,1,7,4,3,5,3,5
Craig Rivet,HOT,D,52,6,4,4,3,4,3,3,0,7,3,3,4,4,4
Igor Kravchuk,HOT,D,29,7,5,5,4,4,4,3,1,7,4,4,3,3,3
Sven Butenschon,HOT,D,22,7,4,4,4,4,4,4,0,4,4,4,4,4,4
Jeff Friesen,ING,F,39,7,5,4,4,3,4,3,1,10,3,4,4,4,4
Todd Harvey,ING,F,20,7,4,4,4,3,3,4,0,7,4,3,4,3,5
Darren McCarty,ING,F,25,9,4,4,5,3,3,4,0,7,4,4,5,3,5
Andrei Nikolishin,ING,F,13,7,5,4,4,3,3,3,1,7,5,5,3,4,3
Shawn McEachern,ING,F,15,6,4,4,5,3,4,3,1,7,4,4,3,3,3
Radek Dvorak,ING,F,19,5,5,5,5,3,3,3,0,7,4,4,3,3,3
Vitaly Vishnevski,ING,D,52,6,4,4,3,4,3,3,0,7,3,3,4,4,4
Dmitri Mironov,ING,D,15,9,4,4,4,3,4,3,0,7,4,3,3,4,4
Jaroslav Svejkovsky,ING,D,34,6,5,5,5,3,3,3,0,7,4,4,3,3,3
Bill Houlder,ING,D,6,8,4,4,4,3,4,3,1,7,4,4,4,3,3
Kevin Stevens,KVK,F,17,11,4,4,4,3,4,4,1,7,4,3,4,3,4
Joe Nieuwendyk,KVK,F,25,6,5,5,5,4,4,3,1,12,4,4,3,4,3
Gary Roberts,KVK,F,10,7,4,4,5,4,4,4,1,9,4,5,5,3,5
Radek Bonk,KVK,F,14,8,4,4,4,4,3,3,1,10,4,4,2,4,4
Bob Probert,KVK,F,24,10,3,4,3,3,3,4,1,5,3,3,5,2,6
Tony Granato,KVK,F,21,5,4,5,4,3,3,3,0,7,4,3,3,3,4
Paul Coffey,KVK,D,77,7,5,5,5,5,3,2,1,7,4,3,3,6,3
Mathieu Schneider,KVK,D,25,6,5,5,5,3,4,4,1,9,4,4,4,4,4
Dave Manson,KVK,D,22,9,4,4,3,4,4,4,1,5,4,4,5,3,5
Bryan Marchment,KVK,D,27,8,4,4,3,3,3,4,1,7,3,4,5,3,5
Jamie Langenbrunner,MGG,F,15,8,5,5,4,3,3,3,0,10,4,3,4,3,3
Nelson Emerson,MGG,F,7,4,5,5,4,3,3,2,0,10,4,3,3,3,4
Matt Cullen,MGG,F,11,6,4,4,4,3,3,3,1,7,4,4,3,3,4
Dave Andreychuk,MGG,F,49,6,4,4,4,3,3,3,0,7,4,3,3,3,4
Rico Fata,MGG,F,44,8,5,5,3,3,4,3,0,7,4,5,2,4,2
Mikael Renberg,MGG,F,19,9,5,5,5,3,4,3,1,9,4,4,3,4,3
Jamie Allison,MGG,D,38,6,3,4,3,3,3,4,1,7,4,3,5,3,5
Kimmo Timonen,MGG,D,44,5,4,4,4,3,3,3,1,7,4,3,3,3,3
Chris Phillips,MGG,D,4,9,4,4,4,3,3,3,1,7,4,3,4,3,4
Scott Walker,MGG,D,24,5,4,4,4,4,3,4,0,7,4,4,5,3,5
Bill Muckalt,MHT,F,17,6,4,4,4,3,3,3,0,7,4,4,4,3,4
Robert Reichel,MHT,F,16,5,5,5,5,3,4,3,1,10,4,4,3,4,3
Derek Plante,MHT,F,18,5,5,5,4,3,3,3,1,10,4,4,3,4,3
Marco Sturm,MHT,F,19,6,5,5,4,3,3,3,1,7,4,4,3,3,4
Sergei Fedorov,MHT,F,91,7,5,6,5,4,4,3,1,12,5,4,4,4,4
Mark Mowers,MHT,F,50,6,4,4,3,2,3,2,0,7,4,3,3,3,3
Patrice Brisebois,MHT,D,43,8,4,4,4,3,3,3,0,7,4,4,4,3,3
Bret Hedican,MHT,D,4,8,5,5,4,4,3,3,1,7,4,4,4,3,4
Jamie Heward,MHT,D,20,8,4,4,4,3,3,3,0,7,4,3,4,3,4
Steve McKenna,MHT,D,7,14,4,3,2,4,2,5,1,2,2,2,5,2,5
Doug Gilmour,NBK,F,93,4,5,5,5,3,3,3,1,11,4,4,3,4,4
Trevor Linden,NBK,F,32,8,4,4,4,3,4,4,0,7,4,4,4,4,4
Jaromir Jagr,NBK,F,68,11,6,5,6,4,4,3,1,12,5,5,3,5,4
Marty McInnis,NBK,F,16,5,4,5,4,3,3,3,0,7,4,3,3,3,3
Jonas Hoglund,NBK,F,44,9,4,4,4,3,3,3,0,9,4,3,3,3,3
Brendan Morrison,NBK,F,9,5,4,5,5,3,3,3,1,7,4,3,3,4,3
Vladimir Malakhov,NBK,D,38,10,4,5,4,3,4,3,1,7,4,4,4,4,4
Richard Smehlik,NBK,D,42,10,4,4,4,3,3,3,1,7,3,4,4,3,4
Kenny Jonsson,NBK,D,29,6,5,5,5,4,4,3,1,7,4,4,3,4,3
Christian LaFlamme,NBK,D,24,7,4,4,4,3,3,3,0,7,4,4,4,3,4
Jason Arnott,OCW,F,25,10,4,3,5,3,4,4,0,9,5,4,5,4,4
Adam Oates,OCW,F,77,5,5,4,5,4,3,3,0,11,5,4,3,4,3
Luc Robitaille,OCW,F,20,8,4,4,5,3,4,3,1,10,5,4,3,4,2
Igor Larionov,OCW,F,8,3,5,4,5,4,3,2,1,10,4,3,3,4,3
Bryan Smolinski,OCW,F,39,7,5,4,4,3,4,3,1,10,3,4,4,4,4
Daniel Cleary,OCW,F,15,7,4,4,4,3,4,4,1,5,4,4,4,4,3
Teppo Numminen,OCW,D,27,6,4,5,5,4,4,4,0,7,4,4,3,4,3
Chris Therien,OCW,D,6,11,4,4,4,4,3,4,1,7,4,4,5,3,4
Bryan Berard,OCW,D,34,6,4,4,4,3,4,3,1,7,4,4,4,3,4
Dave Ellett,OCW,D,44,8,4,4,4,4,4,3,1,7,4,3,4,3,3
Marian Hossa,PIT,F,18,6,5,5,5,4,3,3,1,7,4,4,3,3,4
Sergei Zholtok,PIT,F,34,6,4,5,4,3,3,3,0,9,4,3,3,3,3
Josef Marha,PIT,F,44,4,4,4,4,4,4,4,0,5,4,4,3,4,3
Pavol Demitra,PIT,F,38,6,5,4,5,4,4,3,1,9,4,4,3,4,3
Magnus Arvedson,PIT,F,0,7,5,5,5,4,3,4,1,7,4,4,4,4,3
Pavel Rosa,PIT,F,55,5,5,5,5,3,3,2,0,7,4,4,3,4,3
Gary Suter,PIT,D,20,8,5,5,5,4,4,3,1,9,4,4,4,4,4
Andrei Zyuzin,PIT,D,10,6,5,4,4,3,3,3,1,7,4,3,1,3,4
Tomas Kaberle,PIT,D,15,5,4,4,4,3,3,3,1,7,4,3,3,3,3
Danny Markov,PIT,D,55,4,4,4,4,3,3,3,1,7,4,4,4,3,4
Chris O'Sullivan,PRO,F,19,5,4,4,4,4,4,4,0,5,4,4,3,4,3
Vaclav Prospal,PRO,F,13,6,4,5,5,3,3,3,1,7,4,3,3,4,4
Mike Modano,PRO,F,9,7,5,6,5,4,4,3,1,11,5,4,3,4,4
Andrew Cassels,PRO,F,21,6,4,4,5,3,3,3,1,12,4,4,3,4,3
Brett Hull,PRO,F,22,8,4,4,5,4,5,3,0,10,5,4,3,4,3
Marc Savard,PRO,F,33,5,5,5,3,3,3,3,1,9,4,3,3,4,3
Uwe Krupp,PRO,D,4,11,4,4,4,4,4,4,0,7,3,3,4,3,4
Brent Sopel,PRO,D,50,6,3,3,2,2,1,4,0,7,2,3,4,2,5
Frantsek Kucera,PRO,D,2,9,4,4,3,4,3,2,0,7,2,3,3,3,2
Robert Svehla,PRO,D,24,6,4,4,4,3,3,4,0,10,4,4,4,4,4
Craig Conroy,REN,F,22,6,4,5,4,4,3,4,0,7,4,4,4,3,4
Steve Sullivan,REN,F,11,5,5,5,4,3,3,3,0,7,4,4,3,4,3
Robert Lang,REN,F,20,9,4,4,4,3,3,3,0,10,4,3,3,3,3
Martin Straka,REN,F,82,4,5,5,4,4,3,3,1,10,3,4,3,4,3
Shayne Corson,REN,F,27,7,4,4,4,3,4,4,1,7,4,4,5,3,5
Valeri Bure,REN,F,10,6,4,6,3,3,4,3,0,9,4,4,3,4,4
Al MacInnis,REN,D,2,7,5,4,5,4,6,4,0,7,5,4,4,4,4
Brad Bombardir,REN,D,6,8,4,4,3,3,3,3,1,7,3,3,4,3,3
Pavel Kubina,REN,D,13,11,4,5,4,2,3,3,0,7,4,4,4,3,4
Calle Johansson,REN,D,6,7,4,4,4,4,3,3,1,7,4,4,3,4,3
Mario Lemieux,RIC,F,66,10,5,4,6,4,4,1,0,14,6,4,6,6,1
Vincent Damphousse,RIC,F,25,6,3,4,5,3,4,3,1,9,4,4,3,4,4
Alexei Yashin,RIC,F,93,10,5,5,6,4,4,3,0,12,5,4,4,4,4
J.P. Dumont,RIC,F,17,7,5,5,5,3,3,3,1,7,4,3,3,3,3
Joe Sakic,RIC,F,19,5,5,5,5,4,4,3,1,9,5,4,4,4,3
Alexander Selivanov,RIC,F,28,8,4,4,4,3,3,3,1,7,4,3,4,3,4
Alexei Zhitnik,RIC,D,44,7,5,5,5,3,4,4,1,9,5,4,4,4,4
Scott Ferguson,RIC,D,21,6,4,4,4,4,4,5,0,5,4,5,4,4,4
Bryan McCabe,RIC,D,4,8,4,4,4,4,3,4,1,7,4,4,5,3,5
Todd Simpson,RIC,D,27,9,4,4,3,4,3,4,1,7,3,4,5,3,5
Ron Francis,ROM,F,10,7,4,4,5,4,3,3,1,10,4,4,3,5,3
Shane Doan,ROM,F,19,9,4,4,5,4,3,3,0,7,4,4,4,4,4
Chris Simon,ROM,F,17,13,4,3,3,4,3,5,1,5,3,4,5,3,5
Mariusz Czerkawski,ROM,F,25,6,4,5,4,3,3,2,1,10,4,3,3,3,3
Rob Niedermayer,ROM,F,44,7,5,5,5,3,3,3,1,7,4,4,4,4,4
Daniel Alfredsson,ROM,F,11,6,4,5,5,4,4,4,0,10,4,4,3,4,1
Adam Foote,ROM,D,52,8,4,4,4,4,3,4,0,7,4,4,5,3,5
Ruslan Salei,ROM,D,24,8,4,4,3,3,3,4,1,7,4,4,4,3,4
Denis Gauthier,ROM,D,3,6,4,4,4,4,3,3,1,7,4,3,4,3,4
Vladimir Chebaturkin,ROM,D,55,9,4,4,3,5,4,5,0,5,3,5,4,4,5
Ray Whitney,SAG,F,14,4,3,4,4,3,3,2,0,7,5,4,3,4,3
Joe Juneau,SAG,F,90,6,5,5,5,3,3,2,1,10,4,3,3,4,3
Sergei Nemchinov,SAG,F,12,7,4,4,4,3,3,3,1,9,4,6,3,3,3
Owen Nolan,SAG,F,11,9,4,4,4,4,4,4,0,7,4,4,5,3,5
John LeClair,SAG,F,10,10,5,5,5,4,5,4,1,10,5,4,5,4,3
Pavel Bure,SAG,F,8,4,5,6,5,4,5,2,1,13,4,4,3,4,3
Brendan Witt,SAG,D,19,9,4,4,3,3,3,4,1,7,3,3,5,3,5
Zarley Zalapski,SAG,D,33,10,5,4,3,3,5,3,1,10,3,4,4,3,1
Mathieu Dandenault,SAG,D,27,7,5,5,4,3,3,3,0,7,4,3,4,3,4
Anders Eriksson,SAG,D,8,9,4,4,4,3,3,3,1,7,4,4,3,3,3
Martin Lapointe,SVB,F,20,9,3,4,4,3,4,4,0,10,4,3,5,3,5
Keith Primeau,SVB,F,55,10,5,5,5,4,4,4,1,7,5,4,5,4,4
Jeremy Roenick,SVB,F,97,3,5,5,5,4,4,4,0,10,5,4,4,4,5
Dave Scatchard,SVB,F,17,5,4,4,4,3,3,4,0,7,4,4,5,3,5
Jan Bulis,SVB,F,8,8,4,4,4,3,3,3,1,7,4,3,3,4,3
Juha Ylonen,SVB,F,36,5,5,5,4,3,3,3,1,7,4,3,3,3,3
Gord Murphy,SVB,D,5,6,5,4,4,4,3,3,0,7,4,3,3,3,3
Phil Housley,SVB,D,6,6,5,5,5,3,4,2,1,12,4,4,3,4,3
Marty McSorley,SVB,D,33,11,3,4,3,3,3,4,0,8,3,3,5,3,5
Derian Hatcher,SVB,D,2,10,3,3,4,4,4,5,1,7,4,4,5,3,5
Scott Mellanby,SOV,F,27,7,4,4,4,4,4,4,0,7,4,3,5,3,5
Chris Drury,SOV,F,37,5,5,5,5,3,3,3,0,9,4,3,4,4,4
Vincent Lecavalier,SOV,F,8,8,5,5,5,3,3,3,1,9,4,4,3,4,3
Kirk Maltby,SOV,F,18,7,4,3,4,3,3,4,1,7,4,3,4,3,4
Pierre Turgeon,SOV,F,77,6,5,4,5,3,4,2,1,11,5,4,3,4,3
Dimitri Khristich,SOV,F,12,6,4,4,5,5,4,4,1,5,5,5,3,5,4
Adrian Aucoin,SOV,D,6,8,4,4,5,3,4,3,0,7,5,4,4,3,4
Fredrik Olausson,SOV,D,2,9,5,4,5,3,4,3,0,10,3,4,3,4,3
Cory Cross,SOV,D,4,10,4,4,3,3,3,4,1,10,3,4,4,3,4
Jay McKee,SOV,D,74,6,4,4,3,3,3,4,1,7,3,3,4,3,4
Markus Naslund,SUD,F,19,5,5,5,5,3,4,2,1,7,5,4,3,4,3
Geoff Courtnall,SUD,F,14,6,5,5,4,3,3,3,1,7,4,3,3,3,4
Chad Kilger,SUD,F,24,9,4,4,4,3,3,3,1,7,3,3,4,3,4
Mike Johnson,SUD,F,20,7,4,4,4,3,3,3,0,7,4,4,4,3,3
John MacLean,SUD,F,15,7,4,4,5,4,4,3,0,7,5,3,4,3,4
Geoff Sanderson,SUD,F,80,5,5,5,5,3,3,3,1,9,4,4,3,3,3
Jassen Cullimore,SUD,D,5,11,4,4,4,3,3,3,1,9,3,3,4,3,4
Todd Gill,SUD,D,15,5,4,4,4,3,3,3,1,7,4,3,4,3,4
Mattias Timander,SUD,D,37,8,4,4,4,3,3,3,1,7,4,3,3,3,3
Aaron Gavey,SUD,D,23,6,4,4,3,2,3,3,1,7,3,3,4,3,4
Todd Marchant,SVF,F,26,4,5,5,4,3,3,3,1,7,4,4,3,3,4
Peter Forsberg,SVF,F,21,6,5,5,6,4,4,4,1,12,5,4,4,5,4
Tomas Holmstrom,SVF,F,96,8,4,5,4,3,3,3,1,10,4,3,4,3,4
Michal Handzus,SVF,F,36,9,3,5,3,4,4,3,1,9,2,4,2,3,4
Doug Weight,SVF,F,39,7,5,5,5,3,3,3,1,10,4,4,4,4,3
Jeff Shantz,SVF,F,11,5,4,5,4,4,3,3,0,7,4,4,4,3,4
Eric Brewer,SVF,D,2,6,4,4,4,3,3,3,1,7,4,4,4,3,4
Sylvain Cote,SVF,D,3,6,4,4,4,4,4,3,0,7,4,4,4,4,3
Rob Blake,SVF,D,4,10,4,5,5,4,4,4,0,7,3,4,4,4,5
Jyrki Lumme,SVF,D,20,8,4,4,4,4,4,3,1,7,4,4,3,4,3
Wayne Primeau,SUM,F,59,6,4,4,4,3,3,4,1,8,4,3,5,3,4
Mike Grier,SUM,F,25,10,4,4,4,3,3,4,0,7,4,3,4,3,4
Peter Bondra,SUM,F,12,7,5,6,5,3,5,1,1,12,5,4,3,4,4
Donald Brashear,SUM,F,8,10,3,4,3,2,2,4,1,5,3,3,6,2,6
Petr Sykora,SUM,F,17,5,5,5,4,4,4,3,1,9,5,4,3,4,3
Ian Laperriere,SUM,F,22,6,4,4,3,3,3,4,0,7,4,3,4,3,5
Darius Kasparaitis,SUM,D,11,8,4,4,3,4,3,5,1,7,4,4,4,3,5
Zdeno Chara,SUM,D,33,14,4,4,3,4,3,4,1,10,3,3,5,3,5
Hal Gill,SUM,D,25,12,3,3,3,4,3,4,1,5,3,4,4,3,4
Rich Pilon,SUM,D,2,8,4,4,3,4,3,5,0,3,3,4,5,3,5
Aleksey Morozov,SUN,F,95,5,5,5,5,3,4,3,1,8,4,3,3,4,3
Todd Bertuzzi,SUN,F,44,10,4,5,4,4,3,4,1,10,4,4,5,3,4
Matt Cooke,SUN,F,24,6,4,3,2,2,2,5,1,5,2,2,2,2,2
Steve Yzerman,SUN,F,19,5,5,5,5,4,4,3,0,11,5,4,3,4,4
Brad Isbister,SUN,F,13,10,4,4,4,3,4,4,0,9,4,3,4,3,4
Eric Daze,SUN,F,55,10,4,5,5,3,4,3,1,7,5,3,4,3,3
Alexander Karpovtsev,SUN,D,52,9,4,6,4,5,3,4,0,7,4,4,4,3,4
Roman Hamrlik,SUN,D,22,7,5,4,5,4,4,4,1,10,4,4,4,4,4
Deron Quint,SUN,D,5,5,4,4,4,3,3,3,1,9,2,3,3,3,3
Jamie Rivers,SUN,D,6,7,4,4,4,3,3,3,1,7,4,3,4,3,3
Bill Guerin,TAI,F,9,8,5,5,5,4,4,4,0,7,5,4,5,3,5
Zigmund Palffy,TAI,F,16,5,5,5,5,3,4,3,1,10,5,4,3,4,4
Daymond Langkow,TAI,F,18,5,4,4,4,3,3,3,1,9,4,3,4,3,4
Stu Barnes,TAI,F,41,4,3,4,4,4,3,3,0,7,5,4,3,3,3
Paul Kariya,TAI,F,9,5,6,6,6,4,4,3,1,12,5,4,4,5,4
Paul Ranheim,TAI,F,28,8,4,5,3,4,3,3,0,7,4,3,2,3,2
Sergei Zubov,TAI,D,56,7,5,5,5,3,4,2,0,12,5,4,3,4,3
Don Sweeney,TAI,D,32,5,4,4,4,4,3,3,1,11,2,4,3,3,4
Greg De Vries,TAI,D,7,9,4,4,3,3,3,4,1,5,4,3,4,3,4
Sami Salo,TAI,D,5,8,4,4,4,3,3,3,0,7,4,3,4,3,3
Brian Rolston,TBP,F,14,7,5,5,5,4,4,3,1,9,5,4,3,4,3
Milan Hejduk,TBP,F,23,3,5,5,5,3,3,3,0,7,4,3,3,4,3
Steve Thomas,TBP,F,32,5,5,5,4,4,5,4,1,7,3,4,4,3,4
Martin St. Louis,TBP,F,15,5,4,4,4,3,3,3,1,8,4,4,3,2,2
Sebastien Bordeleau,TBP,F,71,6,5,5,4,3,3,3,0,7,4,3,3,3,3
Shawn Bates,TBP,F,17,8,4,4,4,3,3,3,0,7,4,3,3,3,3
Sandis Ozolinsh,TBP,D,8,8,5,5,5,3,4,3,1,9,5,4,4,4,4
Jason York,TBP,D,33,9,4,4,4,4,3,3,0,7,4,4,4,4,4
Dmitry Yushkevich,TBP,D,36,8,5,4,4,4,3,4,0,7,4,4,4,3,4
Janne Niinimaa,TBP,D,44,10,5,5,5,4,3,3,1,7,4,4,3,4,4
Sergei Berezin,TIM,F,94,7,5,5,5,3,4,3,0,9,5,4,3,4,3
Scott Young,TIM,F,48,6,5,5,3,3,5,3,0,7,4,3,4,3,3
Alexander Korolyuk,TIM,F,15,6,5,5,5,3,3,3,1,7,4,4,3,3,3
Ted Drury,TIM,F,18,8,4,4,3,3,3,3,1,10,4,3,4,3,4
Wendel Clark,TIM,F,71,6,4,4,5,3,4,4,1,7,4,3,5,3,4
Stephane Richer,TIM,F,44,10,4,4,4,3,6,3,0,10,4,3,4,3,3
Eric Weinrich,TIM,D,22,8,4,4,4,3,3,3,1,7,4,4,4,3,4
Cale Hulse,TIM,D,32,9,4,4,4,3,3,4,0,7,4,4,4,3,5
Alain Nasreddine,TIM,D,56,7,4,4,4,3,3,4,1,5,4,4,5,3,5
Derek Morris,TIM,D,53,5,4,4,5,4,4,3,0,7,4,4,4,4,4
